title,description,mediaUrl,memoryObject,location,visualCue
Calculating Velocity in Pipe Flow,Covers calculation of average and maximum velocities in pipe flow. Students learn to apply velocity profiles for laminar and turbulent flow conditions.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/calculating-velocity-in-pipe-flow/calculating-velocity-in-pipe-flow-intro/,,,
Characteristics of a Boundary Layer over a Flat Surface,Explains the development of a boundary layer over a flat plate. Students learn to characterize laminar and turbulent boundary layer thickness and drag forces.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/boundary-layer-characteristics/boundary-layer-characteristics-introduction,,,
Entrance Length in Pipe Flow,Covers hydrodynamic entrance length for flow developing in a pipe. Students learn to estimate the distance required to achieve fully developed laminar or turbulent flow.,https://learncheme.com/quiz-yourself/interactive-modules/entrance-length-in-pipe-flow/entrance-length-in-pipe-flow-introduction/,,,
Calculating Pressure Drop and Power in Pipe Flow,Explains calculation of frictional pressure drop and pump power in pipe flow. Students learn to use the Darcy-Weisbach equation and Moody chart for pipe system design.,https://learncheme.com/quiz-yourself/interactive-modules/calculating-the-pressure-drop-and-power-in-pipe-flow/calculating-the-pressure-drop-and-power-in-pipe-flow-introduction/,,,
Calculating Length and Equivalent Length in a Pipe,Covers calculation of pipe length using equivalent length method for fittings. Students learn to account for minor losses from valves and fittings in piping design.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/calculating-length-and-equivalent-length-in-a-pipe/calculating-length-and-equivalent-length-in-a-pipe-intro/,,,
Multipipe Systems,Explains analysis of pipe networks with multiple parallel and series branches. Students learn to apply flow distribution equations to solve multipipe system problems.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/multipipe-systems/multipipe-systems-introduction/,,,
Linear Momentum,Covers the linear momentum equation for fluid systems. Students learn to apply Newtons second law to calculate forces exerted by fluids on pipes nozzles and vanes.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/linear-momentum/linear-momentum-introduction/,,,
Derivation of a Pressure Field and Fluid at Rest,Covers the derivation of the hydrostatic pressure field from Navier-Stokes. Students learn how the momentum equation reduces to the pressure gradient equation for static fluids.,https://learncheme.com/quiz-yourself/interactive-modules/derivation-of-a-pressure-field-and-fluid-at-rest/derivation-of-a-pressure-field-and-fluid-at-rest-introduction/,,,
Using Boundary Conditions to Develop Velocity Profiles from the Navier-Stokes Equation,Explains how to apply boundary conditions to derive velocity profiles from the Navier-Stokes equation. Students solve for parabolic and other profiles in simple geometries.,https://learncheme.com/quiz-yourself/interactive-modules/using-boundary-conditions-to-develop-velocity-profiles-for-the-navier-stokes-equation/using-boundary-conditions-introduction/,,,
Dimensional Analysis Pi Terms and Dimensionless Numbers,Covers Buckingham Pi theorem and dimensional analysis. Students learn to identify dimensionless groups governing fluid flow and heat and mass transfer problems.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/dimensional-analysis/dimensional-analysis-intro/,,,
Modeling and Similitude,Explains the use of scale models and similitude in fluid mechanics. Students learn geometric kinematic and dynamic similarity criteria for predicting full-scale behavior.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/modeling-and-similtude/modeling-and-similitude-intro/,,,
First Law - Closed Systems,Covers the first law of thermodynamics for closed systems. Students learn to calculate heat and work interactions for processes involving ideal gases and real substances.,https://learncheme.com/quiz-yourself/interactive-modules/first-law-closed-systems/first-law-closed-systems-introduction/,,,
First Law - Open Systems,Covers steady-state energy balances for open systems such as turbines and heat exchangers. Students learn to apply the first law to flow processes with shaft work.,https://learncheme.com/quiz-yourself/interactive-modules/first-law-open-systems/first-law-open-systems-introduction/,,,
Unsteady-State Energy Balances on Tanks,Covers energy balances for tanks with unsteady filling or draining. Students learn to apply the transient first law to open systems with time-varying inventories.,https://learncheme.com/quiz-yourself/interactive-modules/unsteady-state-energy-balances-on-tanks/unsteady-state-energy-balances-on-tanks-introduction/,,,
Entropy,Introduces entropy as a thermodynamic property. Students learn the second law entropy generation and entropy changes for reversible and irreversible processes.,https://learncheme.com/quiz-yourself/interactive-modules/entropy/entropy-intro/,,,
Turbines and Compressors,Covers isentropic efficiency and performance of turbines and compressors. Students learn to calculate work and outlet conditions for adiabatic turbines and compressors.,https://learncheme.com/quiz-yourself/interactive-modules/turbines-and-compressors/turbines-and-compressors-introduction/,,,
Reversible and Irreversible Expansion and Compression Processes,Compares reversible and irreversible expansion and compression. Students learn to calculate work for isothermal adiabatic and polytropic processes.,https://learncheme.com/quiz-yourself/interactive-modules/reversible-irreversible-expansion-compression/reversible-irreversible-expansion-compression-introduction/,,,
Adiabatic Reversible Expansion and Compression,Covers isentropic expansion and compression processes. Students learn to calculate work and temperature changes for ideal gas and steam systems.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/adiabatic-reversible-expansion-and-compression/adiabatic-reversible-expansion-and-compression-introduction/,,,
Carnot Cycle,Explains the Carnot cycle as the ideal heat engine cycle. Students learn to calculate Carnot efficiency and understand the maximum work obtainable from a heat source.,https://learncheme.com/quiz-yourself/interactive-modules/carnot-cycle/carnot-cycle-introduction/,,,
Rankine Cycle,Covers the Rankine cycle used in steam power plants. Students learn to analyze turbine pump boiler and condenser stages and calculate thermal efficiency.,https://learncheme.com/quiz-yourself/interactive-modules/rankine-cycle/rankine-cycle-introduction/,,,
Refrigeration Cycle,Explains the vapor-compression refrigeration cycle. Students learn to calculate COP heat removal and work input for refrigerators and heat pumps.,https://learncheme.com/quiz-yourself/interactive-modules/refrigeration-cycle/refrigeration-cycle-introduction/,,,
Throttling and Joule-Thomson Expansion,Covers throttling processes and the Joule-Thomson effect. Students learn to analyze pressure reduction through valves and the temperature change for real gases.,https://learncheme.com/quiz-yourself/interactive-modules/throttling-and-joule-thompson-expansion/throttling-and-joule-thompson-expansion-introduction/,,,
Fundamental Property Relations,Introduces Maxwell relations and fundamental thermodynamic property relationships. Students learn to derive thermodynamic identities and calculate property changes.,https://learncheme.com/quiz-yourself/interactive-modules/fundamental-property-relations/fundamental-property-relations-introduction/,,,
Liquefaction,Covers liquefaction of gases using the Linde and Claude processes. Students learn to analyze refrigeration cycles designed to produce liquid nitrogen oxygen or natural gas.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/liqufaction/liquefaction-intro/,,,
Thermodynamic Properties Phase Diagrams,Covers thermodynamic property diagrams including PV PT and TS diagrams. Students learn to read and interpret phase envelopes and property contours on these charts.,https://learncheme.com/quiz-yourself/interactive-modules/thermodynamic-properties-phase-diagrams/thermodynamic-properties-phase-diagrams-introduction/,,,
Departure Functions,Explains departure functions for calculating real fluid properties from ideal gas references. Students learn to compute enthalpy and entropy departures using equations of state.,https://learncheme.com/quiz-yourself/interactive-modules/departure-functions/departure-functions-introduction/,,,
Fugacity of a Single Component,Covers fugacity of pure components as a thermodynamic equilibrium criterion. Students learn to calculate fugacity from equations of state and use it in phase equilibrium.,https://learncheme.com/quiz-yourself/interactive-modules/fugacity-single-component/fugacity-single-component-introduction/,,,
Partial Molar Quantities,Explains partial molar properties in mixtures. Students learn to relate mixture properties to component partial molar quantities using the Gibbs-Duhem equation.,https://learncheme.com/quiz-yourself/interactive-modules/partial-molar-quantities/partial-molar-quantities-introduction/,,,
Fugacities of Mixtures,Covers fugacity of components in mixtures using fugacity coefficients. Students learn to apply equations of state to compute mixture fugacities for VLE calculations.,https://learncheme.com/quiz-yourself/interactive-modules/fugacities-of-mixtures/fugacities-of-mixtures-introduction/,,,
Chemical Potential,Explains chemical potential as the criterion for phase and reaction equilibrium. Students learn to use chemical potential to determine equilibrium conditions in mixtures.,https://learncheme.com/quiz-yourself/interactive-modules/chemical-potential/chemical-potential-introduction/,,,
Vapor-Liquid Equilibrium for Non-Ideal Solutions,Covers VLE for non-ideal liquid solutions using activity coefficient models. Students learn to apply Margules van Laar and Wilson equations for phase equilibrium.,https://learncheme.com/quiz-yourself/interactive-modules/vle-for-non-ideal-solutions/vle-for-non-ideal-solutions-introduction/,,,
Osmosis and Reverse Osmosis,Covers osmotic pressure and reverse osmosis membrane processes. Students learn to calculate osmotic pressure and design reverse osmosis systems for separation.,https://learncheme.com/quiz-yourself/interactive-modules/osmosis-and-reverse-osmosis/osmosis-and-reverse-osmosis-introduction/,,,
Absorption and Henrys Law,Explains absorption of gases into liquids using Henrys Law. Students learn to apply Henrys Law constants to determine gas solubility and design absorption columns.,https://learncheme.com/quiz-yourself/interactive-modules/absorption-and-henrys-law/absorption-and-henrys-law-introduction/,,,
Enthalpy of Mixing and Deviation from Raoults Law,Covers enthalpy of mixing and deviations from ideal Raoults Law behavior. Students learn to connect excess enthalpy with activity coefficients and non-ideal VLE.,https://learncheme.com/quiz-yourself/interactive-modules/enthalpy-of-mixing-and-deviation-from-raoults-law/enthalpy-of-mixing-and-deviation-from-raoults-law-introduction/,,,
Using a Cubic Equation of State to Determine VLE,Explains how to use cubic equations of state for VLE calculations. Students learn to solve for vapor and liquid phase fugacities and determine equilibrium compositions.,https://learncheme.com/quiz-yourself/interactive-modules/using-a-cubic-eos-to-determine-vapor-liquid-equilibrium/using-a-cubic-eos-to-determine-vapor-liquid-equilibrium-introduction/,,,
Gibbs Free Energy and Phase Separation,Covers Gibbs free energy of mixing and spinodal decomposition. Students learn to predict liquid-liquid phase separation from the shape of the Gibbs energy curve.,https://learncheme.com/quiz-yourself/interactive-modules/gibbs-free-energy-and-phase-separation/gibbs-free-energy-and-phase-separation-introduction/,,,
Partially-Miscible Liquids Phase Diagrams,Covers phase diagrams for partially miscible liquid pairs. Students learn to identify two-liquid-phase regions and determine equilibrium compositions using tie lines.,https://learncheme.com/quiz-yourself/interactive-modules/partially-miscible-liquids-phase-diagrams/partially-miscible-liquids-phase-diagrams-introduction/,,,
Immiscible Liquids Phase Diagrams,Covers phase diagrams for completely immiscible liquid pairs. Students learn to determine three-phase equilibrium temperature and analyze steam distillation processes.,https://learncheme.com/quiz-yourself/interactive-modules/immiscible-liquid-phase-diagrams/immiscible-liquid-phase-diagrams-introduction/,,,
Solid-Solid-Liquid Phase Diagrams,Explains phase diagrams for systems exhibiting solid-solid-liquid equilibria. Students learn to read eutectic diagrams and identify phase transitions with changing composition.,https://learncheme.com/quiz-yourself/interactive-modules/solid-solid-liquid-phase-diagrams/solid-solid-liquid-phase-diagrams-introduction/,,,
Azeotropes,Covers azeotrope formation in vapor-liquid equilibrium. Students learn to identify maximum and minimum boiling azeotropes and understand their impact on distillation.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/azeotropes/azeotropes-introduction/,,,
Gas-Phase Chemical Equilibrium,Covers equilibrium constants and equilibrium composition for gas-phase reactions. Students learn to calculate Kp convert between bases and find equilibrium conversions.,https://learncheme.com/quiz-yourself/interactive-modules/gas-phase-chemical-equilibrium/gas-phase-chemical-equilibrium-introduction/,,,
Heterogeneous Chemical Equilibrium,Explains chemical equilibrium involving multiple phases. Students learn to derive equilibrium expressions and solve for equilibrium compositions.,https://learncheme.com/quiz-yourself/interactive-modules/heterogeneous-chemical-equilibrium/heterogeneous-chemical-equilibrium-introduction/,,,
Thermal Effects in Chemical Reactions,Covers the effect of temperature on equilibrium constants and reaction equilibrium. Students learn to apply van't Hoff equation and solve adiabatic reactor equilibrium problems.,https://learncheme.com/quiz-yourself/interactive-modules/thermal-effects-in-chemical-reactions/thermal-effects-in-chemical-reactions-introduction/,,,
Chemical Equilibrium for Multiple Reactions,Covers simultaneous chemical equilibria for systems with multiple reactions. Students learn to minimize Gibbs free energy or solve coupled equilibrium expressions.,https://learncheme.com/chemical-equilibrium-for-multiple-reactions/introduction/,,,
Nonlinear Regression,Covers regression of rate law parameters from experimental data. Students learn to fit nonlinear kinetic models to concentration-time data using least squares methods.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/nonlinear-regression/nonlinear-regression-introduction/,,,
Multiple Reactions and Selectivity,Explains parallel and series reaction networks and optimization of selectivity. Students learn to choose reactor type and operating conditions to maximize desired product yield.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/multiple-reactions-and-selectivity/multiple-reactions-and-selectivity-introduction/,,,
Langmuir-Hinshelwood Kinetics,Covers Langmuir-Hinshelwood rate expressions for surface-catalyzed reactions. Students learn to derive and fit rate laws for adsorption reaction and desorption steps.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/langmuir-hinshelwood-kinetics/langmuir-hinshelwood-kinetics-introduction/,,,
Diffusion and Reaction in Porous Catalysts,Covers internal diffusion limitations in porous catalyst pellets. Students learn to calculate Thiele modulus effectiveness factor and the impact of diffusion on observed reaction rates.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/diffusion-and-reaction-in-porous-catalysts/diffusion-and-reaction-in-porous-catalysts-introduction/,,,
Isothermal Batch Reactors,Covers design equations for batch reactors with single reactions. Students learn to size isothermal batch reactors and determine reaction time for a given conversion.,https://learncheme.com/quiz-yourself/interactive-modules/isothermal-batch-reactors/isothermal-batch-reactors-introduction/,,,
Isothermal Continuous Stirred Tank Reactors,Covers design equations for isothermal continuous stirred tank reactors. Students learn to determine CSTR volume and conversion using steady-state mole balances.,https://learncheme.com/quiz-yourself/interactive-modules/isothermal-cstr/isothermal-cstr-introduction/,,,
Isothermal Plug Flow Reactors,Covers the design and performance analysis of isothermal plug flow reactors including PFR mole balances conversion profiles and sizing for various reaction orders.,https://learncheme.com/quiz-yourself/interactive-modules/isothermal-plug-flow-reactor/isothermal-plug-flow-reactor-introduction/,,,
Isothermal Semibatch Reactors,Introduces semibatch reactor operation under isothermal conditions examining time-dependent mole balances selectivity control and applications in chemical manufacturing.,https://learncheme.com/quiz-yourself/interactive-modules/isothermal-semibatch-reactors/isothermal-semibatch-reactors-introduction/,,,
Energy Balance in Steady-State PFR,Applies energy balances to steady-state plug flow reactors exploring the coupled ODEs for temperature and conversion profiles in exothermic and endothermic reactions.,https://learncheme.com/quiz-yourself/interactive-modules/energy-balance-in-steady-state-pfr/energy-balance-in-steady-state-pfr-introduction/,,,
Energy Balances in Stirred Tank Reactors,Covers energy balances for CSTRs including heat generation and removal curves steady-state temperature calculations and the impact of heat exchanger design on reactor performance.,https://learncheme.com/quiz-yourself/interactive-modules/energy-balances-in-stirred-tank-reactors/energy-balances-in-stirred-tank-reactors-introduction/,,,
Multiple Steady States in a Non-Isothermal CSTR,Investigates multiple steady states in non-isothermal CSTRs using heat generation and removal curves to identify stable and unstable operating points.,https://learncheme.com/quiz-yourself/interactive-modules/multiple-steady-states-in-a-non-isothermal-cstr/multiple-steady-states-in-a-non-isothermal-cstr-introduction/,,,
Pressure Drop in Packed Bed Reactors,Examines the Ergun equation and its application to pressure drop calculations in packed bed reactors including the effect of pressure on gas-phase reaction rates and conversion.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/pressure-drop-in-pbr/pressure-drop-in-pbr-intro,,,
Steady-State Approximation and Rate-Determining Step,Explains the pseudo-steady-state hypothesis and rate-limiting step concept used in deriving rate expressions for complex reaction mechanisms in chemical kinetics.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/steady-state-approx-rate-determining-step/steady-state-approx-rate-determining-step-intro/,,,
Enzyme Kinetics,Explores enzymatic reaction kinetics using the Michaelis-Menten model covering substrate concentration effects maximum reaction rates and inhibition mechanisms in biochemical systems.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/enzyme-kinetics/enzyme-kinetics-intro,,,
Polymerization Kinetics,Introduces the kinetics of polymerization reactions including chain-growth and step-growth mechanisms molecular weight distributions and rate expressions for polymer synthesis.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/polymerization-kinetics/polymerization-kinetics-intro/,,,
Solving Ordinary Differential Equations,Covers numerical and analytical methods for solving ODEs encountered in reactor design including initial value problems and the use of software tools for reaction engineering applications.,https://learncheme.com/quiz-yourself/interactive-modules/solving-ordinary-differential-equations/solving-ordinary-differential-equations-introduction/,,,
Residence Time Distribution,Covers the theory and application of residence time distribution analysis for characterizing non-ideal flow patterns in reactors including step and pulse tracer experiments.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/residence-time-distribution/residence-time-distribution-intro/,,,
Polymerization Reactors,Explores reactor design for polymerization processes covering conversion molecular weight control and the design of batch CSTR and tubular reactors for polymer production.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/polymerization-reactors/polymerization-reactors-intro/,,,
Single-Stage Batch Distillation,Covers the fundamentals of single-stage batch distillation including Rayleigh equation differential distillation and the effect of relative volatility on separation efficiency.,https://learncheme.com/quiz-yourself/interactive-modules/single-stage-batch-distillation/single-stage-batch-distillation-introduction/,,,
Multistage Batch Distillation,Extends batch distillation concepts to multistage columns exploring the role of reflux ratio number of stages and column efficiency in achieving desired product purity.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/multi-stage-batch-distillation/multi-stage-batch-distillation-introduction/,,,
McCabe-Thiele Diagrams,Introduces the McCabe-Thiele graphical method for binary distillation column design covering operating lines q-lines equilibrium stages and the minimum reflux ratio concept.,https://learncheme.com/quiz-yourself/interactive-modules/mccabe-thiele-diagrams/mccabe-thiele-diagrams-introduction/,,,
Absorption Columns,Covers the design and analysis of absorption columns for removing gaseous components including number of transfer units height of a transfer unit and operating line construction.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/absorption-columns/absorption-columns-introduction/,,,
Stripping Columns,Examines stripping column design for removing dissolved gases from liquids covering equilibrium stages operating lines and the use of stripping factor to optimize column performance.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/stripping-columns/stripping-columns-introduction/,,,
Hunter-Nash Method for Liquid-Liquid Extraction,Applies the Hunter-Nash graphical method to liquid-liquid extraction design covering extraction stages solvent selection and the determination of raffinate and extract compositions.,https://learncheme.com/quiz-yourself/interactive-modules/hunter-nash-method-for-liquid-liquid-extraction/hunter-nash-method-for-lle-introduction/,,,
Single-Effect Evaporators,Covers the design and analysis of single-effect evaporators including energy and mass balances boiling point elevation and steam economy for concentrating liquid solutions.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/single-effect-evaporators/single-effect-evaporators-introduction/,,,
Multi-Effect Evaporators,Extends evaporation concepts to multi-effect systems analyzing the trade-offs between steam economy and capital cost for concentrating solutions in food and chemical industries.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/multi-effect-evaporators/multi-effect-evaporators-introduction/,,,
