id,title,description,mediaUrl,memoryObject,location,visualCue,updatedAt,strength,repetitions,lastReviewed
850,Viscosity and Shear Stress,Explains Newtons law of viscosity and shear stress in fluids. Students learn to relate shear stress to velocity gradients and distinguish Newtonian from non-Newtonian fluids.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide38.jpg,Shower_Handel_01,,,,,,
851,Conservation of Mass,Covers the continuity equation for conservation of mass in fluid flow. Students learn to apply mass balance to steady and unsteady flow in pipes and open channels.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide39.jpg,Cabinet_Wall_DD_03,,,,,,
852,Introduction to Pipe Flow,Introduces laminar and turbulent pipe flow concepts. Students learn to calculate Reynolds number and identify flow regimes in circular pipes.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide40.jpg,Shower_Faucet_01 (1),,,,,,
853,Calculating Velocity in Pipe Flow,Covers calculation of average and maximum velocities in pipe flow. Students learn to apply velocity profiles for laminar and turbulent flow conditions.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide41.jpg,Faucet,,,,,,
854,Characteristics of a Boundary Layer over a Flat Surface,Explains the development of a boundary layer over a flat plate. Students learn to characterize laminar and turbulent boundary layer thickness and drag forces.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide42.jpg,ToiletPaperHolder_01,,,,,,
855,Entrance Length in Pipe Flow,Covers hydrodynamic entrance length for flow developing in a pipe. Students learn to estimate the distance required to achieve fully developed laminar or turbulent flow.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide43.jpg,HamperFlap,,,,,,
856,Calculating Pressure Drop and Power in Pipe Flow,Explains calculation of frictional pressure drop and pump power in pipe flow. Students learn to use the Darcy-Weisbach equation and Moody chart for pipe system design.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide44.jpg,ToothbrushCup_Filled,,,,,,
857,Calculating Length and Equivalent Length in a Pipe,Covers calculation of pipe length using equivalent length method for fittings. Students learn to account for minor losses from valves and fittings in piping design.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide45.jpg,Lamp_BR_01,,,,,,
858,Multipipe Systems,Explains analysis of pipe networks with multiple parallel and series branches. Students learn to apply flow distribution equations to solve multipipe system problems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide46.jpg,BR_Cabinet_01,,,,,,
859,Linear Momentum,Covers the linear momentum equation for fluid systems. Students learn to apply Newtons second law to calculate forces exerted by fluids on pipes nozzles and vanes.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide47.jpg,Speaker Sub,,,,,,
860,Derivation of a Pressure Field and Fluid at Rest,Covers the derivation of the hydrostatic pressure field from Navier-Stokes. Students learn how the momentum equation reduces to the pressure gradient equation for static fluids.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide48.jpg,Pillow_Apt_01.001,,,,,,
861,Using Boundary Conditions to Develop Velocity Profiles from the Navier-Stokes Equation,Explains how to apply boundary conditions to derive velocity profiles from the Navier-Stokes equation. Students solve for parabolic and other profiles in simple geometries.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide49.jpg,Dresser Closet_01,,,,,,
862,Dimensional Analysis Pi Terms and Dimensionless Numbers,Covers Buckingham Pi theorem and dimensional analysis. Students learn to identify dimensionless groups governing fluid flow and heat and mass transfer problems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide50.jpg,Wall_Mirror_02,,,,,,
863,Modeling and Similitude,Explains the use of scale models and similitude in fluid mechanics. Students learn geometric kinematic and dynamic similarity criteria for predicting full-scale behavior.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide51.jpg,Dresser_Apt_01,,,,,,
864,First Law - Closed Systems,Covers the first law of thermodynamics for closed systems. Students learn to calculate heat and work interactions for processes involving ideal gases and real substances.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide52.jpg,Table_End_02,,,,,,
865,First Law - Open Systems,Covers steady-state energy balances for open systems such as turbines and heat exchangers. Students learn to apply the first law to flow processes with shaft work.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide53.jpg,Table_End_01,,,,,,
866,Unsteady-State Energy Balances on Tanks,Covers energy balances for tanks with unsteady filling or draining. Students learn to apply the transient first law to open systems with time-varying inventories.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide54.jpg,Bench_Apt_02,,,,,,
867,Entropy,Introduces entropy as a thermodynamic property. Students learn the second law entropy generation and entropy changes for reversible and irreversible processes.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide55.jpg,TV_Apt_01,,,,,,
868,Turbines and Compressors,Covers isentropic efficiency and performance of turbines and compressors. Students learn to calculate work and outlet conditions for adiabatic turbines and compressors.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide56.jpg,GameController_Apt_01_02,,,,,,
869,Reversible and Irreversible Expansion and Compression Processes,Compares reversible and irreversible expansion and compression. Students learn to calculate work for isothermal adiabatic and polytropic processes.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide57.jpg,Table_Computer_01,,,,,,
870,Adiabatic Reversible Expansion and Compression,Covers isentropic expansion and compression processes. Students learn to calculate work and temperature changes for ideal gas and steam systems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide58.jpg,Mouse_apt_01,,,,,,
871,Carnot Cycle,Explains the Carnot cycle as the ideal heat engine cycle. Students learn to calculate Carnot efficiency and understand the maximum work obtainable from a heat source.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide59.jpg,Window_Frame_Apt_01,,,,,,
872,Rankine Cycle,Covers the Rankine cycle used in steam power plants. Students learn to analyze turbine pump boiler and condenser stages and calculate thermal efficiency.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide60.jpg,Vase_Apt_01,,,,,,
873,Refrigeration Cycle,Explains the vapor-compression refrigeration cycle. Students learn to calculate COP heat removal and work input for refrigerators and heat pumps.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide61.jpg,Fridge_01,,,,,,
874,Throttling and Joule-Thomson Expansion,Covers throttling processes and the Joule-Thomson effect. Students learn to analyze pressure reduction through valves and the temperature change for real gases.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide62.jpg,MirrorPlate,,,,,,
875,Fundamental Property Relations,Introduces Maxwell relations and fundamental thermodynamic property relationships. Students learn to derive thermodynamic identities and calculate property changes.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide63.jpg,Cabinet_Wall_DD_02 (2),,,,,,
876,Liquefaction,Covers liquefaction of gases using the Linde and Claude processes. Students learn to analyze refrigeration cycles designed to produce liquid nitrogen oxygen or natural gas.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide64.jpg,Cabinet_Wall_SD_01,,,,,,
877,Thermodynamic Properties Phase Diagrams,Covers thermodynamic property diagrams including PV PT and TS diagrams. Students learn to read and interpret phase envelopes and property contours on these charts.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide65.jpg,Cabinet_Wall_DD_02 (1),,,,,,
878,Departure Functions,Explains departure functions for calculating real fluid properties from ideal gas references. Students learn to compute enthalpy and entropy departures using equations of state.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide66.jpg,DrinkingGlass_02,,,,,,
879,Fugacity of a Single Component,Covers fugacity of pure components as a thermodynamic equilibrium criterion. Students learn to calculate fugacity from equations of state and use it in phase equilibrium.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide67.jpg,DrinkingGlass_01,,,,,,
880,Partial Molar Quantities,Explains partial molar properties in mixtures. Students learn to relate mixture properties to component partial molar quantities using the Gibbs-Duhem equation.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide68.jpg,Bowl_Apt_01,,,,,,
881,Fugacities of Mixtures,Covers fugacity of components in mixtures using fugacity coefficients. Students learn to apply equations of state to compute mixture fugacities for VLE calculations.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide69.jpg,Plate_Apt_02,,,,,,
882,Chemical Potential,Explains chemical potential as the criterion for phase and reaction equilibrium. Students learn to use chemical potential to determine equilibrium conditions in mixtures.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide70.jpg,Bowl_Apt_01_Stacked,,,,,,
883,Vapor-Liquid Equilibrium for Non-Ideal Solutions,Covers VLE for non-ideal liquid solutions using activity coefficient models. Students learn to apply Margules van Laar and Wilson equations for phase equilibrium.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide71.jpg,Cabinet_Base_Corner_01,,,,,,
884,Osmosis and Reverse Osmosis,Covers osmotic pressure and reverse osmosis membrane processes. Students learn to calculate osmotic pressure and design reverse osmosis systems for separation.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide72.jpg,Toaster_Apt_01,,,,,,
885,Absorption and Henrys Law,Explains absorption of gases into liquids using Henrys Law. Students learn to apply Henrys Law constants to determine gas solubility and design absorption columns.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide73.jpg,Lamp_Ceiling_Apt_03,,,,,,
886,Enthalpy of Mixing and Deviation from Raoults Law,Covers enthalpy of mixing and deviations from ideal Raoults Law behavior. Students learn to connect excess enthalpy with activity coefficients and non-ideal VLE.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide74.jpg,office chair,,,,,,
887,Using a Cubic Equation of State to Determine VLE,Explains how to use cubic equations of state for VLE calculations. Students learn to solve for vapor and liquid phase fugacities and determine equilibrium compositions.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide75.jpg,Pillow_Apt_01.002,,,,,,
888,Gibbs Free Energy and Phase Separation,Covers Gibbs free energy of mixing and spinodal decomposition. Students learn to predict liquid-liquid phase separation from the shape of the Gibbs energy curve.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide76.jpg,Table Top,,,,,,
889,Partially-Miscible Liquids Phase Diagrams,Covers phase diagrams for partially miscible liquid pairs. Students learn to identify two-liquid-phase regions and determine equilibrium compositions using tie lines.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide77.jpg,Sofa_Apt_02 (1),,,,,,
890,Immiscible Liquids Phase Diagrams,Covers phase diagrams for completely immiscible liquid pairs. Students learn to determine three-phase equilibrium temperature and analyze steam distillation processes.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide78.jpg,Sofa_Apt_02,,,,,,
891,Solid-Solid-Liquid Phase Diagrams,Explains phase diagrams for systems exhibiting solid-solid-liquid equilibria. Students learn to read eutectic diagrams and identify phase transitions with changing composition.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide79.jpg,Table_Side_Apt_01,,,,,,
892,Azeotropes,Covers azeotrope formation in vapor-liquid equilibrium. Students learn to identify maximum and minimum boiling azeotropes and understand their impact on distillation.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide80.jpg,Window_Frame_Apt_01 (1),,,,,,
893,Gas-Phase Chemical Equilibrium,Covers equilibrium constants and equilibrium composition for gas-phase reactions. Students learn to calculate Kp convert between bases and find equilibrium conversions.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide81.jpg,Window_Frame_Apt_01 (2),,,,,,
894,Heterogeneous Chemical Equilibrium,Explains chemical equilibrium involving multiple phases. Students learn to derive equilibrium expressions and solve for equilibrium compositions.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide82.jpg,Window_Frame_Apt_01 (3),,,,,,
895,Thermal Effects in Chemical Reactions,Covers the effect of temperature on equilibrium constants and reaction equilibrium. Students learn to apply van't Hoff equation and solve adiabatic reactor equilibrium problems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide83.jpg,Sheet,,,,,,
896,Chemical Equilibrium for Multiple Reactions,Covers simultaneous chemical equilibria for systems with multiple reactions. Students learn to minimize Gibbs free energy or solve coupled equilibrium expressions.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide84.jpg,door_001 (5),,,,,,
897,Nonlinear Regression,Covers regression of rate law parameters from experimental data. Students learn to fit nonlinear kinetic models to concentration-time data using least squares methods.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide85.jpg,door_001 (1),,,,,,
898,Multiple Reactions and Selectivity,Explains parallel and series reaction networks and optimization of selectivity. Students learn to choose reactor type and operating conditions to maximize desired product yield.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide86.jpg,door_001 (6),,,,,,
899,Langmuir-Hinshelwood Kinetics,Covers Langmuir-Hinshelwood rate expressions for surface-catalyzed reactions. Students learn to derive and fit rate laws for adsorption reaction and desorption steps.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide87.jpg,door_001 (4),,,,,,
900,Diffusion and Reaction in Porous Catalysts,Covers internal diffusion limitations in porous catalyst pellets. Students learn to calculate Thiele modulus effectiveness factor and the impact of diffusion on observed reaction rates.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide88.jpg,Chair_Apt_01 (3),,,,,,
901,Isothermal Batch Reactors,Covers design equations for batch reactors with single reactions. Students learn to size isothermal batch reactors and determine reaction time for a given conversion.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide89.jpg,Chair_Apt_01,,,,,,
902,Isothermal Continuous Stirred Tank Reactors,Covers design equations for isothermal continuous stirred tank reactors. Students learn to determine CSTR volume and conversion using steady-state mole balances.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide90.jpg,Chair_Apt_01 (2),,,,,,
903,Isothermal Plug Flow Reactors,Covers the design and performance analysis of isothermal plug flow reactors including PFR mole balances conversion profiles and sizing for various reaction orders.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide91.jpg,Chair_Apt_01 (1),,,,,,
904,Isothermal Semibatch Reactors,Introduces semibatch reactor operation under isothermal conditions examining time-dependent mole balances selectivity control and applications in chemical manufacturing.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide92.jpg,WallShelf_Apt_02,,,,,,
905,Energy Balance in Steady-State PFR,Applies energy balances to steady-state plug flow reactors exploring the coupled ODEs for temperature and conversion profiles in exothermic and endothermic reactions.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide93.jpg,Window_Frame_Apt_01 (5),,,,,,
906,Energy Balances in Stirred Tank Reactors,Covers energy balances for CSTRs including heat generation and removal curves steady-state temperature calculations and the impact of heat exchanger design on reactor performance.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide94.jpg,Window_Frame_Apt_01 (6),,,,,,
907,Multiple Steady States in a Non-Isothermal CSTR,Investigates multiple steady states in non-isothermal CSTRs using heat generation and removal curves to identify stable and unstable operating points.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide95.jpg,Lamp_Wall_Apt_02,,,,,,
908,Pressure Drop in Packed Bed Reactors,Examines the Ergun equation and its application to pressure drop calculations in packed bed reactors including the effect of pressure on gas-phase reaction rates and conversion.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide96.jpg,Lamp_Ceiling_Apt_05,,,,,,
909,Steady-State Approximation and Rate-Determining Step,Explains the pseudo-steady-state hypothesis and rate-limiting step concept used in deriving rate expressions for complex reaction mechanisms in chemical kinetics.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide97.jpg,GlassDoor,,,,,,
